,Date,3 mo
2600,2000-05-22,6.01
2601,2000-05-23,6.01
2602,2000-05-24,5.92
2603,2000-05-25,5.85
2604,2000-05-26,5.83
2605,2000-05-30,5.87
2606,2000-05-31,5.63
2607,2000-06-01,5.74
2608,2000-06-02,5.87
2609,2000-06-05,5.98
2610,2000-06-06,5.99
2611,2000-06-07,5.92
2612,2000-06-08,5.91
2613,2000-06-09,5.92
2614,2000-06-12,5.93
2615,2000-06-13,5.88
2616,2000-06-14,5.82
2617,2000-06-15,5.84
2618,2000-06-16,5.83
2619,2000-06-19,5.84
2620,2000-06-20,5.79
2621,2000-06-21,5.81
2622,2000-06-22,5.84
2623,2000-06-23,5.86
2624,2000-06-26,5.82
2625,2000-06-27,5.83
2626,2000-06-28,5.81
2627,2000-06-29,5.85
2628,2000-06-30,5.88
2629,2000-07-03,6.00
2630,2000-07-05,5.99
2631,2000-07-06,6.02
2632,2000-07-07,6.04
2633,2000-07-10,6.10
2634,2000-07-11,6.10
2635,2000-07-12,6.17
2636,2000-07-13,6.18
2637,2000-07-14,6.17
2638,2000-07-17,6.15
2639,2000-07-18,6.16
2640,2000-07-19,6.18
2641,2000-07-20,6.18
2642,2000-07-21,6.13
2643,2000-07-24,6.21
2644,2000-07-25,6.20
2645,2000-07-26,6.18
2646,2000-07-27,6.22
2647,2000-07-28,6.20
2648,2000-07-31,6.27
2649,2000-08-01,6.25
2650,2000-08-02,6.25
2651,2000-08-03,6.23
2652,2000-08-04,6.23
2653,2000-08-07,6.28
2654,2000-08-08,6.26
2655,2000-08-09,6.25
2656,2000-08-10,6.25
2657,2000-08-11,6.29
2658,2000-08-14,6.27
2659,2000-08-15,6.28
2660,2000-08-16,6.27
2661,2000-08-17,6.27
2662,2000-08-18,6.27
2663,2000-08-21,6.30
2664,2000-08-22,6.28
2665,2000-08-23,6.29
2666,2000-08-24,6.29
2667,2000-08-25,6.31
2668,2000-08-28,6.32
2669,2000-08-29,6.31
2670,2000-08-30,6.32
2671,2000-08-31,6.31
2672,2000-09-01,6.27
2673,2000-09-05,6.27
2674,2000-09-06,6.21
2675,2000-09-07,6.20
2676,2000-09-08,6.14
2677,2000-09-11,6.11
2678,2000-09-12,6.09
2679,2000-09-13,6.09
2680,2000-09-14,6.14
2681,2000-09-15,6.14
2682,2000-09-18,6.15
2683,2000-09-19,6.17
2684,2000-09-20,6.16
2685,2000-09-21,6.16
2686,2000-09-22,6.16
2687,2000-09-25,6.18
2688,2000-09-26,6.18
2689,2000-09-27,6.20
2690,2000-09-28,6.25
2691,2000-09-29,6.23
2692,2000-10-02,6.27
2693,2000-10-03,6.24
2694,2000-10-04,6.24
2695,2000-10-05,6.25
2696,2000-10-06,6.24
2697,2000-10-10,6.27
2698,2000-10-11,6.23
2699,2000-10-12,6.19
2700,2000-10-13,6.19
2701,2000-10-16,6.28
2702,2000-10-17,6.30
2703,2000-10-18,6.30
2704,2000-10-19,6.32
2705,2000-10-20,6.31
2706,2000-10-23,6.34
2707,2000-10-24,6.35
2708,2000-10-25,6.39
2709,2000-10-26,6.36
2710,2000-10-27,6.35
2711,2000-10-30,6.39
2712,2000-10-31,6.38
2713,2000-11-01,6.37
2714,2000-11-02,6.37
2715,2000-11-03,6.38
2716,2000-11-06,6.42
2717,2000-11-07,6.42
2718,2000-11-08,6.41
2719,2000-11-09,6.40
2720,2000-11-10,6.37
2721,2000-11-13,6.39
2722,2000-11-14,6.37
2723,2000-11-15,6.38
2724,2000-11-16,6.35
2725,2000-11-17,6.35
2726,2000-11-20,6.36
2727,2000-11-21,6.36
2728,2000-11-22,6.36
2729,2000-11-24,6.36
2730,2000-11-27,6.33
2731,2000-11-28,6.28
2732,2000-11-29,6.24
2733,2000-11-30,6.21
2734,2000-12-01,6.23
2735,2000-12-04,6.15
2736,2000-12-05,6.08
2737,2000-12-06,6.09
2738,2000-12-07,6.11
2739,2000-12-08,6.09
2740,2000-12-11,6.08
2741,2000-12-12,6.06
2742,2000-12-13,6.06
2743,2000-12-14,6.06
2744,2000-12-15,6.02
2745,2000-12-18,5.95
2746,2000-12-19,5.93
2747,2000-12-20,5.82
2748,2000-12-21,5.38
2749,2000-12-22,5.27
2750,2000-12-26,5.85
2751,2000-12-27,5.75
2752,2000-12-28,5.87
2753,2000-12-29,5.89
2754,2001-01-02,5.87
2755,2001-01-03,5.69
2756,2001-01-04,5.37
2757,2001-01-05,5.12
2758,2001-01-08,5.19
2759,2001-01-09,5.24
2760,2001-01-10,5.29
2761,2001-01-11,5.31
2762,2001-01-12,5.33
2763,2001-01-16,5.38
2764,2001-01-17,5.36
2765,2001-01-18,5.28
2766,2001-01-19,5.24
2767,2001-01-22,5.23
2768,2001-01-23,5.24
2769,2001-01-24,5.28
2770,2001-01-25,5.28
2771,2001-01-26,5.17
